rank,model,version,sources,num_tracks,si_sdr_mean,si_sdr_median,si_sdr_std,si_sar_mean,si_sar_median,si_sar_std,si_sdr_i_mean,si_sdr_i_median,si_sdr_i_std,mix_si_sdr_mean_from_tracks,baseline_mixture_si_sdr,baseline_mixture_si_sar,beats_mixture_baseline,beats_mixture_baseline_by_sisdri,checkpoint,_summary_path
1,deep_feature_emd,estándar,2,20,-0.09894011076539755,-0.109125766903162,0.06286281347125579,23.43507969379425,23.264803886413574,1.7587398683525348,-0.08073046989738941,-0.08161917328834534,0.04228489292140643,-0.018209640868008137,-0.03977375663816929,24.31703019142151,False,False,checkpoints\Mis_modelos_v2\experimental\deep_feature_emd checkpoints\2stems\best_checkpoint_21_val_loss=-0.0000.pt,resultados_modelos\evaluate_v2\experimental\deep_feature_emd\2stems\summary.json
2,deep_feature,estándar,2,20,-0.10921906400471926,-0.10433553718030453,0.09100230797740778,22.996461510658264,22.961704432964325,1.7121797247005268,-0.09100942313671112,-0.09811306372284889,0.06315714874309195,-0.018209640868008137,-0.03977375663816929,24.31703019142151,False,False,checkpoints\Mis_modelos_v2\experimental\deep_feature checkpoints\2stems\best_checkpoint_20_val_loss=-0.0000.pt,resultados_modelos\evaluate_v2\experimental\deep_feature\2stems\summary.json
3,l2_freq,estándar,2,20,-2.280506288516335,-2.34939556568861,0.5626795763644256,12.27303671091795,12.024301588535309,1.6897070464820743,-2.262296647648327,-2.3430760577321053,0.5837999624546211,-0.018209640868008137,-0.03977375663816929,24.31703019142151,False,False,checkpoints\Mis_modelos_v2\main\l2_freq checkpoints\2stems\best_checkpoint_8_val_loss=-0.0000.pt,resultados_modelos\evaluate_v2\main\l2_freq\2stems\summary.json
4,l2,estándar,2,20,-2.532768615987152,-2.6224860921502113,0.6080721952237073,11.444542445242405,11.33536845445633,1.5736577576144462,-2.5145589751191437,-2.5748898833990097,0.6316865748412802,-0.018209640868008137,-0.03977375663816929,24.31703019142151,False,False,checkpoints\Mis_modelos_v2\main\l2 checkpoints\2stems\best_checkpoint_8_val_loss=-0.0000.pt,resultados_modelos\evaluate_v2\main\l2\2stems\summary.json
5,l1,estándar,2,20,-7.174905561842024,-6.974787935614586,1.7366178830004662,3.581879794408451,3.592117130756378,1.1022974666288203,-7.156695920974016,-6.923317834734917,1.7647466751017464,-0.018209640868008137,-0.03977375663816929,24.31703019142151,False,False,checkpoints\Mis_modelos_v2\main\l1 checkpoints\2stems\best_checkpoint_13_val_loss=-0.0006.pt,resultados_modelos\evaluate_v2\main\l1\2stems\summary.json
6,l1_freq,estándar,2,20,-7.175931895151734,-6.9756705313920975,1.7340499333018433,3.578069508475892,3.588263690471649,1.1025720756657251,-7.157722254283726,-6.924200430512428,1.7621830971243841,-0.018209640868008137,-0.03977375663816929,24.31703019142151,False,False,checkpoints\Mis_modelos_v2\main\l1_freq checkpoints\2stems\best_checkpoint_13_val_loss=-0.0006.pt,resultados_modelos\evaluate_v2\main\l1_freq\2stems\summary.json
7,lpsa_phase,v2,2,20,-8.175768060609698,-8.721054643392563,1.9149307458753346,,,,,,,,-0.03977375663816929,,False,,checkpoints\Mis_modelos\lpsa_phase checkpoints\2stems\best_checkpoint_100_val_loss=-0.0000.pt,resultados_modelos\evaluate_v2\advanced\lpsa_phase\2stems\summary.json
8,mask_l1,estándar,2,20,-8.257488833740354,-8.027100041508675,1.8713327947499412,2.106514172628522,1.834052950143814,1.4951731722776265,-8.239279192872345,-7.975629940629005,1.9071010552313785,-0.018209640868008137,-0.03977375663816929,24.31703019142151,False,False,checkpoints\Mis_modelos_v2\main\mask_l1 checkpoints\2stems\best_checkpoint_70_val_loss=-0.2075.pt,resultados_modelos\evaluate_v2\main\mask_l1\2stems\summary.json
9,log_mag,estándar,2,20,-8.361186984926462,-8.12266193330288,2.033002016246736,2.1301230918616056,1.6808530315756798,1.7402354609690889,-8.342977344058454,-8.07119183242321,2.065649577094495,-0.018209640868008137,-0.03977375663816929,24.31703019142151,False,False,checkpoints\Mis_modelos_v2\main\log_mag checkpoints\2stems\best_checkpoint_56_val_loss=-0.3190.pt,resultados_modelos\evaluate_v2\main\log_mag\2stems\summary.json
10,log_compressed_l2,estándar,2,20,-8.946802023798227,-8.55649322271347,2.1635265024222243,0.5000915471464396,0.3495720773935318,1.5874169407265912,-8.92859238293022,-8.539511039853096,2.1975669525725756,-0.018209640868008137,-0.03977375663816929,24.31703019142151,False,False,checkpoints\Mis_modelos_v2\main\log_compressed_l2 checkpoints\2stems\best_checkpoint_45_val_loss=-1.3424.pt,resultados_modelos\evaluate_v2\main\log_compressed_l2\2stems\summary.json
11,lpsa,v2,2,20,-9.422951269894838,-8.956730514764786,2.353534969150333,,,,,,,,-0.03977375663816929,,False,,checkpoints\Mis_modelos_v2\main\lpsa checkpoints\2stems\best_checkpoint_61_val_loss=-1.2069.pt,resultados_modelos\evaluate_v2\main\lpsa\2stems\summary.json
12,logl2,estándar,2,20,-9.592759754508734,-9.139757305383682,2.6422526144492835,0.012385891750454903,-0.2133863978087902,2.046269308180968,-9.574550113640726,-9.117606654763222,2.6745351347060446,-0.018209640868008137,-0.03977375663816929,24.31703019142151,False,False,checkpoints\Mis_modelos_v2\main\logl2 checkpoints\2stems\best_checkpoint_77_val_loss=-0.5998.pt,resultados_modelos\evaluate_v2\main\logl2\2stems\summary.json
13,logl1,estándar,2,20,-10.762937430292368,-11.08354240655899,2.740165771862364,-1.7427878440357745,-2.342537473887205,2.3151063405064916,-10.74472778942436,-11.134479492902756,2.771308507205495,-0.018209640868008137,-0.03977375663816929,24.31703019142151,False,False,checkpoints\Mis_modelos_v2\main\logl1 checkpoints\2stems\best_checkpoint_69_val_loss=-22.6263.pt,resultados_modelos\evaluate_v2\main\logl1\2stems\summary.json
